account_no,customer_name,alias,customer_group,legacy_codes,contract_numbers,contract_sl_nos,emirate,place_of_supply,district,address,po_box,email,phone,mobile,trn,priority,latitude,longitude,maps_link_coords,location_source,location_status,required_info,notes
11216,LEADERS FITNESS,,,,1079/25,31,Dubai,Dubai,Al Qasimia,"M-05 , Bu Ameen Building, Karama,Dubai",,,,0553051143,100598531000003,,25.351212,55.392809,"https://www.google.com/maps?q=25.351212,55.392809",CONTRACT_MASTER,VERIFIED,ASK: EMAIL,Location inherited from contract master (SL 31)
11217,ALO BARBAR RESTAURANT - BRANCH - 1,,,,,,Sharjah,Sharjah,Al Majaz,AL MAJAZ CORNISH ROAD,,,0504502450,,,,25.330126,55.374338,"https://www.google.com/maps?q=25.330126,55.374338",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11218,AL ALAMIAH MEDICAL EQUIP. & DRUGS STORE LLC.,,,,,,Sharjah,Sharjah,Industrial Area 18,IND AREA-18,5042,,0508809932,,100039116700003,,25.311094,55.413447,"https://www.google.com/maps?q=25.311094,55.413447",AREA_CENTROID,AREA_APPROX,ASK: EMAIL,District-level coordinates only — capture exact pin on first visit
11219,VISION ADHENSIVE LABELS FACTORY L.L.C,,,,,,Sharjah,Sharjah,Industrial Area,Industrial area,1907,accounts@visionlabel.com,0555890594,,,,25.3169,55.4187,"https://www.google.com/maps?q=25.316900,55.418700",AREA_CENTROID,AREA_APPROX,ASK: TRN,District-level coordinates only — capture exact pin on first visit
11221,LIWA PHARMACY,,,,,,,,,AL QASMIA,7668,,0543240997,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11222,TRUDOC PHARMACY L.L.C,,,,,,,,,UOD METHA,,,0558854365,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11223,AL FANAR CAFE,,,,,,,,,JURAINA,,,0569904031,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11224,CHOICE RESTAURANT FREE ZONE,,,,,,Sharjah,Sharjah,Al Hamriyah,HAMRIYA FREE ZONE,5655,,0549945420,,,,25.456513,55.513359,"https://www.google.com/maps?q=25.456513,55.513359",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11225,SEVEN GRAM CAFE L.L.C,,,,,,Sharjah,Sharjah,Al Dhaid,AL DHAID,1150,,0567056818,,,,25.27092,55.876824,"https://www.google.com/maps?q=25.270920,55.876824",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11226,MAC ISLAND CAFETERIA,,,,,,Sharjah,Sharjah,Al Yarmook,YARMOOK,,,0527402252,,,,25.350508,55.404911,"https://www.google.com/maps?q=25.350508,55.404911",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11227,Sharjah Trading,,,,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11228,Sharjah Trade Center,,,,,,Sharjah,Sharjah,Umm Al Tarafa,UMM ALTRAFA,,,0547069917,,,,25.3542,55.3946,"https://www.google.com/maps?q=25.354200,55.394600",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11229,Al Ajwah Al Thahabiah Supermarket,,,,,,Sharjah,Sharjah,Al Rolla,ROLLA,43573,,0506588702,,,,25.35707,55.391061,"https://www.google.com/maps?q=25.357070,55.391061",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11231,Bin Shenna Hair Dressing Salon,,,,,,,,,DAY TO DAY BACK,96127,,0508653556,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11232,AL IKHTAYAR AL RAFEE                                     ROASTERY L .L .C,,,,,,Sharjah,Sharjah,Al Rolla,ROLLA,43573,,065661142,,,,25.35707,55.391061,"https://www.google.com/maps?q=25.357070,55.391061",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11233,Najmat Al Ramla Hair Dressing Salon,,,,,,Sharjah,Sharjah,Al Rolla,ROLLA,21928,,0551188628,,,,25.35707,55.391061,"https://www.google.com/maps?q=25.357070,55.391061",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11234,RASHEDA HAIR DRESSER SALON,,,,1090/25,41,Sharjah,Sharjah,Al Rolla,ROLLA,3629,,0562746438,,,,25.358938,55.388538,"https://www.google.com/maps?q=25.358938,55.388538",CONTRACT_MASTER,UNVERIFIED,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 41)
11235,DAR BARAKAH HAIRDRESSING SALOON,,,,1145/26,89,Sharjah,Sharjah,Al Ghuwair,AL GHUWAIR,43573,,0554264433,,,,25.304994,55.38795,"https://www.google.com/maps?q=25.304994,55.387950",CONTRACT_MASTER,AREA_APPROX,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 89)
11236,WAHAT AL NEJOUM HAIR DRESSING SALON,,,,,,,,,AL GURAIR,,,0501125536,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11237,MIRDHIF VILLA,,,,,,,,,MIRDHIF,,,0521037093,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11238,AL WAFA CENTRE GEN . TR. LLC SOLE PROPRIETORSHIP,NESTO AL WAHDA,,0071,,,,,,"8050 AL WAFA CENTRE GEN . TR Al Batha Real Estate Co. Building Plot No. 84, Al Yarmok, Al Wahdah Street",48702,,065660031,,100247587700003,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11239,QUDRAH FITNESS,,,,,,Sharjah,Sharjah,,"Shop 6,Waterfront 3, Al Heera Beach Sharjah, Corniche Street, Sharjah Al Raffa",,,0508115155,,104312810500003,,25.3463,55.4209,"https://www.google.com/maps?q=25.346300,55.420900",AREA_CENTROID,AREA_APPROX,ASK: EMAIL,Emirate-level coordinates only — capture exact pin on first visit
11241,MANARA Al SAJAA SALOON,,,,,,Sharjah,Sharjah,Al Sajaa,AL SAJAA,54521,,0558926145,0564510370,,,25.311217,55.641176,"https://www.google.com/maps?q=25.311217,55.641176",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11242,Herangi Foods and Beverages Trading L.L.C,,,,,,Sharjah,Sharjah,Industrial Area,Qusis Industrial Area,48495,,0563713919,,,,25.3169,55.4187,"https://www.google.com/maps?q=25.316900,55.418700",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11243,WARDAT MUWAILEIH LADIES SALON,,,,,,Sharjah,Sharjah,Muwaileh,MUWAILAH,,,0553933405,,,,25.295924,55.486309,"https://www.google.com/maps?q=25.295924,55.486309",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11244,ZAWYA AL EBTEKAR HAIRDRESSER SALON,,,,1086/25,37,Sharjah,Sharjah,Al Mahatah,AL MAHATTA,3558,,0506221783,,,,25.348267,55.394102,"https://www.google.com/maps?q=25.348267,55.394102",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 37)
11245,AVR GENERAL TRADING LLC,,,,,,Dubai,Dubai,,AL QUSAIS INDUSTRIAL AREA,,,0563977740,,,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,Emirate-level coordinates only — capture exact pin on first visit
11246,VIRGINIA ANGUS RESTAURANT,,,,,,,,,CORNICHE,,,0543449523,,104075645200003,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11247,NEW GENERATION FOOD SUPPLEMENTS TRADING LLC.,,,,,,,,,AL ZAHIA CITY CENTER,,,0506454577,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11248,DYNAMIC INDUSTRIES LLC,,,00123,,,Sharjah,Sharjah,Al Sajaa,Sajaa Industerial Area,47311,,,,100004498000003,,25.311217,55.641176,"https://www.google.com/maps?q=25.311217,55.641176",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE,District-level coordinates only — capture exact pin on first visit
11249,AL NOOR AL THAHABI AUTOMATIC BAKERY LLC,,,00123/762183,,,Sharjah,Sharjah,Industrial Area 12,"Industrial Area, 12",3872,,0521562392,,,,25.311094,55.413447,"https://www.google.com/maps?q=25.311094,55.413447",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11251,Zayid Bin Saqer Al Nehayan Al Khairya,,,00124,,,,,,,11092,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11252,Accuro Specialist Support Services,,,SUBURBAN PC/2,1138/26,82,Sharjah,Sharjah,Industrial Area 11,Industrial Area 11,283923,,,,,,25.311094,55.413447,"https://www.google.com/maps?q=25.311094,55.413447",CONTRACT_MASTER,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,Location inherited from contract master (SL 82)
11253,SHAIKHA SHAIKHA MOHAMED SAQER ALQASSIMI,,,00127,,,Sharjah,Sharjah,Muwaileh,"Shop B-5, Al Salam Village Complex, Muweilah",,info@raap.ae,97165508768,971507160711,100306456300003,,25.295924,55.486309,"https://www.google.com/maps?q=25.295924,55.486309",AREA_CENTROID,AREA_APPROX,,District-level coordinates only — capture exact pin on first visit
11254,Grand Mall Sharjah,,,,,,Sharjah,Sharjah,Al Musalla,"49 Ibrahim Mohammed Al Medfa'a St, Al Mussalla, Al Gharb",124228,,065288622,+971526037075,,,25.06212,56.352787,"https://www.google.com/maps?q=25.062120,56.352787",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11255,GINCO CONT. CO. LLC LABOR CAMP PLOT NO : 382-0,LABOR CAMP PLOT NO : 382-0,,16203,,,Dubai,Dubai,,DIP 2 DUBAI,1809,,+971567380099,,,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,Emirate-level coordinates only — capture exact pin on first visit
11256,AL WAKEEL BAKERY,,,,1110/26,55,Sharjah,Sharjah,Abu Shagara,Abushagara,,,0558538400,,,,25.337179,55.389847,"https://www.google.com/maps?q=25.337179,55.389847",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 55)
11257,AL MARJAN SALOON,,,,,,Sharjah,Sharjah,Industrial Area 6,IND AREA - 6,60714,,,,,,25.311094,55.413447,"https://www.google.com/maps?q=25.311094,55.413447",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11258,KOSOVO GROCERY,,,,1112/26,57,Sharjah,Sharjah,Industrial Area 6,IND AREA - 6,21950,,0567666137,,,,25.322559,55.416796,"https://www.google.com/maps?q=25.322559,55.416796",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 57)
11259,BON AL SAMRA COFFEE,,,,,,Sharjah,Sharjah,Al Khan,AL KHAN,440079,,0504094335,,,,25.314391,55.375385,"https://www.google.com/maps?q=25.314391,55.375385",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11261,BLOSSOM EDUCATION INVESTMENT LLC - SHJ. BR,,,,1105/25,52,Sharjah,Sharjah,Al Khan,"MARYAM ISLAD, AL KHAN",37885,mohamad.elhares@babilou.com,0566290699,0505195953,100008994400003,,25.322745,55.360563,"https://www.google.com/maps?q=25.322745,55.360563",CONTRACT_MASTER,UNVERIFIED,,Location inherited from contract master (SL 52)
11262,AL BUSTAN AL AKHDHAR HAIRDRESSING SALOON,,,,,,Sharjah,Sharjah,Al Sajaa,AL SAJAA INDUS AREA,54335,,0502428398,,,,25.311217,55.641176,"https://www.google.com/maps?q=25.311217,55.641176",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11263,ALED & RAMLAH REST - BR 1,,,,,,,,,BU DING,80695,,0559900230,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11264,Trueman Technical Services Contracting LLC,,,SUBURBAN003,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11265,Mohd.Jaber Abdullah Al Harbi,,,SUBURBAN004,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11266,MONT CARLO  HAIRDRESSING SALON,,,,1127/26,71,Sharjah,Sharjah,Abu Shagara,Abushagara,24060,,0529195919,,,,25.335203,55.392095,"https://www.google.com/maps?q=25.335203,55.392095",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 71)
11267,GULF ICE FACTORY & COLD STORAGE,,GULF ICE FACTORY GROUP,,"1154/26, 1165/26, 1168/26","96, 107, 110",Sharjah,Sharjah,Industrial Area 11,"Street 11, INDUSTRIAL AREA 11",,,,,,,25.296384,55.427046,"https://www.google.com/maps?q=25.296384,55.427046",CONTRACT_MASTER,UNVERIFIED,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,"Location inherited from contract master (SL 96, 107, 110)"
11268,AL KABAB AL BUKHARI REST,,,,,,Sharjah,Sharjah,Industrial Area 6,INDUSTRIAL AREA 6,,,+971506366558,,,,25.311094,55.413447,"https://www.google.com/maps?q=25.311094,55.413447",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11269,MR. FAISAL VILLA NO : 20 & 22,,,,,,,,,SHARGAN,,,0557032443,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11271,MUTLAQ AL MUTLAQ REAL STATE,,,,,,Sharjah,Sharjah,,Al Taween Road Opposite of sharjah expo centre Al Qemah Tower 1,,,0544400973,,,,25.3463,55.4209,"https://www.google.com/maps?q=25.346300,55.420900",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,Emirate-level coordinates only — capture exact pin on first visit
11272,THE YELLOW FORT CAFETERIA L.L.C S.P,,,,,,Sharjah,Sharjah,Muwaileh,MUWAILAH,,,0502809471,,,,25.295924,55.486309,"https://www.google.com/maps?q=25.295924,55.486309",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11273,Ardh Al Mustaqbal Real Estate,Mustaqbal Real Estate,,0145,,,Sharjah,Sharjah,Al Jazzat,"Industrial Area 13,Jazzat Villa",,,,,,,25.363352,55.427047,"https://www.google.com/maps?q=25.363352,55.427047",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11274,LONDON BRITISH NURSERY,,,,1134/26,78,Sharjah,Sharjah,Al Ghubaiba,AL GHUBAIBA,,,065660228,,,,25.351366,55.410881,"https://www.google.com/maps?q=25.351366,55.410881",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 78)
11275,Rukn Al Shwaihean Supermarket LLC,,,,1202/26,146,Sharjah,Sharjah,Al Rolla,ROLLA,,,05226700950555110102,,,,25.360172,55.386605,"https://www.google.com/maps?q=25.360172,55.386605",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 146)
11276,DAISO Japan,,,,,,,,,"Al Wahda Streetr, City Center",,,065242199,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11277,BAUSCH HEALTH TRADING DWC LLC,,,,,,,,,"Rolex Tower ,14th Floor",9767,Luz.fortugaliza@bausch.com,,,100260009400003,,,,,NONE,NO_LOCATION,ASK: PHONE/MOBILE; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11278,Global Parts Fzc,,,,,,Sharjah,Sharjah,Industrial Area 13,"Near Al Shoula School, Industrial Area 13",1234,,0553381734,,10035039000003,,25.311094,55.413447,"https://www.google.com/maps?q=25.311094,55.413447",AREA_CENTROID,AREA_APPROX,ASK: EMAIL,District-level coordinates only — capture exact pin on first visit
11279,AL NAJM ALRAIE CAFETERIA,,,0151,,,Sharjah,Sharjah,Hoshi,AL HOSHI,,,,,,,25.3463,55.4209,"https://www.google.com/maps?q=25.346300,55.420900",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11281,AL MANARA AL JAMELA GROCERY,,,0153,1167/26,109,Sharjah,Sharjah,Al Yarmook,AL YARMOOK,413,,0555431531,,,,25.350508,55.404911,"https://www.google.com/maps?q=25.350508,55.404911",CONTRACT_MASTER,AREA_APPROX,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 109)
11282,BRIDGE WAY FIRM FZ - LLC,,,0154,,,Dubai,Dubai,,"BUILDING 40 OFFICES- 3 , DUBAI HEALTH CARE CITY",66566,,,+9715019073692,,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,Emirate-level coordinates only — capture exact pin on first visit
11283,LINOX CREATIVE ADVERTISTING LLC,,,0155,,,Sharjah,Sharjah,Industrial Area 12,Industrial area 12,27038,solutions@linox.ae,065442264,,,,25.311094,55.413447,"https://www.google.com/maps?q=25.311094,55.413447",AREA_CENTROID,AREA_APPROX,ASK: TRN,District-level coordinates only — capture exact pin on first visit
11284,SIZAR JEWELLERS FACTORY LLC,,,0156,,,Sharjah,Sharjah,Industrial Area 15,Industrial area 15,,farook@jawahiroman.com,0526922249,,100594326900003,,25.311094,55.413447,"https://www.google.com/maps?q=25.311094,55.413447",AREA_CENTROID,AREA_APPROX,,District-level coordinates only — capture exact pin on first visit
11285,Aries Marine and Engineering Services,,,0157,,,Sharjah,Sharjah,Al Soor,"TOWER 400 Building, 20th Floor, Al Mina Road, Al Soor area",24496,ariesmar@emirates.net.ae,+971504530255,,,,25.3639,55.3922,"https://www.google.com/maps?q=25.363900,55.392200",AREA_CENTROID,AREA_APPROX,ASK: TRN,District-level coordinates only — capture exact pin on first visit
11286,WAHAT MALIHA PHARMACY BRANCH 1,,,,,,Sharjah,Sharjah,Al Dhaid,"Al Madam to Al Dhaid Road, Madam",14758,,0588388209,,,,25.27092,55.876824,"https://www.google.com/maps?q=25.270920,55.876824",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11287,AL HAMAD BUILDING CONTRACTING CO. LLC,Suburban customer,SUBURBAN CUSTOMER,SUBURBANCUS,,,,,,,,,,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11288,HAPPY FUN LLC LABOUR CAMP,,,,,,Ajman,Ajman,,"INDUST AREA , JURF",,,042899844,0556855402,,,25.4052,55.5136,"https://www.google.com/maps?q=25.405200,55.513600",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,Emirate-level coordinates only — capture exact pin on first visit
11289,RUKN ALRAMLAH GENTS SALON,,,,1147/26,90,Sharjah,Sharjah,Industrial Area 11,INDUSTRIAL AREA - 11,34970,,0582397810,,,,25.311094,55.413447,"https://www.google.com/maps?q=25.311094,55.413447",CONTRACT_MASTER,AREA_APPROX,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 90)
11291,AL AMIN ALUMINIUM,,,,,,,,,"E11, AL RAMS",,purchase3@facadesolutionsuae.com,+971581550788,,,,,,,NONE,NO_LOCATION,ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11292,SEYOH MOSQUE KHADEEJA TAYYEB ABDAL GAFOOR,,,,,,,,,SEYOH,,,0558313570,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11293,EASY LIFE SUPERMARKET LLC SP,,,0164,1195/26,139,Sharjah,Sharjah,Al Gharb,AL QHURAIR,,,0509591419,,,,25.359063,55.387988,"https://www.google.com/maps?q=25.359063,55.387988",CONTRACT_MASTER,VERIFIED,ASK: EMAIL; ASK: TRN,Location inherited from contract master (SL 139)
11294,Villa No 42,,,0165,,,,,,"Street 11, Meadows 2",,,0551450965,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11295,Aryaas Gourmet Veg Restaurant L.L.C,,ARYAAS GROUP,0166,,,Dubai,Dubai,,"The Business Center, Opposite Burjuman Center, Bank Street,Mankhool, Dubai, Bur Dubai",,,065639340,,100225789500003,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: EMAIL,Emirate-level coordinates only — capture exact pin on first visit
11296,SAMAR TOWER & JAHRATH AL NAHDA BUILDING,,,0167,,,Sharjah,Sharjah,Al Majaz,AL MAJAZ - 3,,,0526272912,,,,25.330126,55.374338,"https://www.google.com/maps?q=25.330126,55.374338",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11297,MOHD.SHAH ALAM SWEETS.NUTS TR LLC,,,0168,,,Sharjah,Sharjah,Al Rolla,"NEAR ALGUWAIR MARKET, ROLLA",71881,,0503069756,,,,25.35707,55.391061,"https://www.google.com/maps?q=25.357070,55.391061",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11298,AL HELAL REALESTATE,,,0169,,,,,,"NEAR NESTO HYPERMARKET , BUTEENA",66575,,0504567190,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11299,Jamal Al Mas Ladies Beauty Center,,,,,,Sharjah,Sharjah,Abu Shagara,Abushagara,130536,,065550129,0502718954,0169,,25.336248,55.395397,"https://www.google.com/maps?q=25.336248,55.395397",AREA_CENTROID,AREA_APPROX,ASK: EMAIL,District-level coordinates only — capture exact pin on first visit
11311,Al AMAAL ENGLISH HIGH SCHOOL,,,0170,1218/26,161,Sharjah,Sharjah,Al Sharq,Buteena,4462,,065656818,,100354671800003,,25.373797,55.401119,"https://www.google.com/maps?q=25.373797,55.401119",CONTRACT_MASTER,VERIFIED,ASK: EMAIL,Location inherited from contract master (SL 161)
11312,Gulf Rock Engineering LLC,,,0171,,,Sharjah,Sharjah,Al Sajaa,Sajaa,6427,rajesh.selvam@gulfrock.com,0547424352,,,,25.311217,55.641176,"https://www.google.com/maps?q=25.311217,55.641176",AREA_CENTROID,AREA_APPROX,ASK: TRN,District-level coordinates only — capture exact pin on first visit
11313,AL KHAFAYEF AL HARAH RESTURANT,,,0172,,,Sharjah,Sharjah,Al Sajaa,"Industrial area, Sajaa",0000,,0562611646,,,,25.311217,55.641176,"https://www.google.com/maps?q=25.311217,55.641176",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11314,MADINAT LIWA SUPER MARKET,,,0173,,,,,,AL QASMIA,96933,,065484455,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11315,AUSTIN FITNESS,,,0174,,,,,,"BEHIND MEGA MALL, BU DING",77189,,0507371873,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11316,AL MARKAZ PHARMACY LLC,,,0175,,,Dubai,Dubai,,AL SATWA,334-2257,,0551723922,,,,25.2048,55.2708,"https://www.google.com/maps?q=25.204800,55.270800",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,Emirate-level coordinates only — capture exact pin on first visit
11317,SALSA RESTURANT LLC-SHJ BR,,,0176,,,,,,Al Zahia City Center,,,0503365406,,,,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: TRN; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11318,MOHAMMAD RUBEL GROCERY,,,0177,,,Sharjah,Sharjah,Industrial Area,Industrial Area,,,0581841510,,,,25.3169,55.4187,"https://www.google.com/maps?q=25.316900,55.418700",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11319,AL SHAMS AL SATHAA LAUNDRY,,,0178,,,Sharjah,Sharjah,Abu Shagara,Abushagara,,,0559955108,,,,25.336248,55.395397,"https://www.google.com/maps?q=25.336248,55.395397",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
11321,Brilliant International Private School,,,0179,1129/26,73,Sharjah,Sharjah,Muwaileh,"Near National Paints, Muwailah",,,065442420,,100072077900003,,25.298644,55.451705,"https://www.google.com/maps?q=25.298644,55.451705",CONTRACT_MASTER,VERIFIED,ASK: EMAIL,Location inherited from contract master (SL 73)
11322,Aryaas Gourmet Veg Restaurant LLC- Shj.Br-Br,,ARYAAS GROUP,0180,,,Sharjah,Sharjah,Al Rolla,"Opposite Al Mina Tower , Rolla",29157,,0569941942,,,,25.35707,55.391061,"https://www.google.com/maps?q=25.357070,55.391061",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: TRN,District-level coordinates only — capture exact pin on first visit
